TICKET,FECHA,IDESTADO,IDCIUDAD,IDTIENDA,IDEMPLEADO
00000108,2020-12-30,22,5,33,74
00000109,2022-09-27,28,8,43,55
00000110,2022-01-03,2,7,29,54
00000111,2021-06-25,8,11,64,1
00000112,2022-06-29,9,19,91,45
00000113,2020-11-22,18,14,60,89
00000114,2021-06-15,22,13,78,88
00000115,2020-06-13,22,19,29,5
00000116,2022-03-14,12,11,45,62
00000117,2021-04-23,24,2,39,84
00000118,2021-09-17,8,3,27,24
00000119,2021-03-02,13,10,85,42
00000120,2021-02-28,31,19,26,92
00000121,2021-03-29,28,9,72,73
00000122,2020-02-09,5,18,55,13
00000123,2022-10-30,16,10,23,8
00000124,2021-12-14,20,18,92,48
00000125,2020-04-21,24,17,3,67
00000126,2021-06-25,27,20,26,12
00000127,2020-02-22,15,8,12,43
00000128,2021-09-30,4,3,40,22
00000129,2022-08-13,8,20,95,2
00000130,2022-10-30,11,13,65,61
00000131,2022-12-27,2,12,14,23
00000132,2020-05-30,12,18,39,85
00000133,2022-02-23,12,17,78,9
00000134,2022-03-25,10,19,93,25
00000135,2022-03-07,22,4,99,18
00000136,2020-03-06,14,16,10,13
00000137,2020-02-28,17,16,40,54
00000138,2020-04-17,31,5,63,42
00000139,2021-02-11,21,5,3,62
00000140,2020-08-14,32,10,49,35
00000141,2020-06-21,30,1,3,3
00000142,2020-04-30,19,4,29,87
00000143,2021-08-30,21,1,85,60
00000144,2022-04-18,15,14,46,44
00000145,2022-12-12,32,10,75,72
00000146,2022-02-18,11,4,77,75
00000147,2020-07-30,3,19,9,93
00000148,2020-12-14,22,1,86,31
00000149,2022-05-30,22,17,89,28
00000150,2021-09-29,15,17,36,2
00000151,2021-05-30,24,15,67,90
00000152,2021-10-30,22,15,5,32
00000153,2020-05-30,3,19,61,78
00000154,2021-01-01,3,4,32,57
00000155,2022-06-11,24,3,58,30
00000156,2022-02-06,32,17,36,83
00000157,2021-09-01,28,18,70,20
00000158,2021-12-26,24,6,55,2
00000159,2021-06-11,1,16,49,10
00000160,2021-04-03,9,11,61,92
00000161,2022-09-24,18,16,12,55
00000162,2021-11-23,18,8,68,14
00000163,2020-03-28,23,5,78,47
00000164,2021-03-29,25,11,12,98
00000165,2022-06-19,3,11,82,74
00000166,2022-03-07,28,20,4,36
00000167,2022-03-15,2,4,1,58
00000168,2022-06-11,14,10,13,46
00000169,2020-05-30,5,12,46,24
00000170,2021-11-28,31,2,91,19
00000171,2020-03-16,9,7,27,32
00000172,2020-08-09,17,19,77,14
00000173,2020-06-01,25,17,87,21
00000174,2020-08-21,26,5,9,66
00000175,2020-08-14,6,7,33,45
00000176,2021-05-30,25,20,96,100
00000177,2022-06-26,5,10,76,58
00000178,2020-02-05,20,3,87,27
00000179,2022-05-30,7,10,1,79
00000180,2020-06-10,25,8,52,50
00000181,2022-02-28,13,18,64,28
00000182,2022-01-09,4,14,34,23
00000183,2020-02-09,20,10,76,54
00000184,2020-01-21,10,16,58,44
00000185,2020-11-22,2,3,6,93
00000186,2022-10-01,14,17,3,90
00000187,2021-01-24,28,4,84,16
00000188,2022-08-14,26,10,74,65
00000189,2020-06-16,6,13,53,80
00000190,2022-05-30,7,15,25,87
00000191,2020-07-30,32,16,20,81
00000192,2020-03-08,17,6,26,33
00000193,2022-09-06,7,10,22,69
00000194,2022-06-08,12,4,84,90
00000195,2021-01-13,10,4,14,76
00000196,2020-08-06,4,4,58,37
00000197,2022-01-30,31,11,37,25
00000198,2022-05-30,5,13,47,53
00000199,2022-04-26,6,11,95,50
00000200,2022-02-08,26,5,84,71
00000201,2020-02-10,2,19,29,29
00000202,2020-05-30,19,20,45,12
00000203,2021-11-19,10,5,43,43
00000204,2020-05-30,17,19,9,99
00000205,2022-05-30,12,11,49,19
00000206,2021-07-30,14,19,64,73
00000207,2020-08-07,20,16,90,72
00000208,2022-04-25,3,13,70,51
00000209,2021-07-30,29,18,68,78
00000210,2020-04-27,15,20,1,69
00000211,2022-05-30,25,16,30,19
00000212,2022-03-28,29,11,61,67
00000213,2021-02-24,11,3,50,19
00000214,2021-09-02,15,17,47,60
00000215,2022-10-30,20,14,39,74
00000216,2020-10-30,12,5,15,13
00000217,2020-07-30,6,14,65,40
00000218,2021-11-16,9,10,70,39
00000219,2020-01-01,20,4,67,14
00000220,2021-11-28,13,19,38,64
00000221,2021-01-28,15,15,42,88
00000222,2021-05-30,24,12,97,12
00000223,2022-04-12,15,4,37,19
00000224,2020-04-09,22,6,50,60
00000225,2022-07-30,21,7,29,38
00000226,2021-03-10,25,15,88,45
00000227,2022-11-11,32,13,90,17
00000228,2022-12-30,20,18,3,25
00000229,2022-06-28,4,6,83,22
00000230,2022-11-14,14,5,42,7
00000231,2022-08-16,19,18,14,13
00000232,2022-03-05,8,12,73,92
00000233,2021-02-24,21,20,58,28
00000234,2021-01-20,32,5,20,8
00000235,2022-06-03,8,14,1,48
00000236,2022-10-30,24,19,80,27
00000237,2022-09-04,11,3,7,56
00000238,2020-12-09,17,7,46,77
00000239,2022-03-17,1,19,3,3
00000240,2021-06-25,2,16,32,34
00000241,2020-12-27,29,7,56,34
00000242,2022-01-21,19,4,49,90
00000243,2022-01-27,8,1,22,99
00000244,2020-06-30,24,11,81,57
00000245,2022-08-28,9,15,26,95
00000246,2022-10-30,21,15,61,2
00000247,2020-10-30,11,8,82,5
00000248,2022-06-08,4,10,15,71
00000249,2020-08-09,16,10,16,87
00000250,2022-09-25,32,10,42,79
00000251,2021-05-30,13,8,51,46
00000252,2022-12-02,24,16,80,46
00000253,2020-12-05,20,20,18,76
00000254,2022-05-30,31,4,20,67
00000255,2022-01-11,31,18,37,87
00000256,2022-10-30,10,2,18,46
00000257,2020-06-16,1,5,50,22
00000258,2021-03-13,9,16,26,58
00000259,2020-01-26,14,19,16,12
00000260,2021-10-30,9,20,7,16
00000261,2022-06-06,30,16,73,26
00000262,2022-05-30,27,4,6,11
00000263,2021-04-22,24,17,19,100
00000264,2022-04-15,14,9,44,100
00000265,2021-07-30,30,15,50,59
00000266,2022-08-17,1,8,59,91
00000267,2021-12-20,4,6,98,42
00000268,2021-07-30,32,5,38,88
00000269,2021-02-28,3,20,3,74
00000270,2022-07-30,11,12,69,68
00000271,2020-05-30,21,7,75,8
00000272,2020-07-30,24,17,82,39
00000273,2022-08-29,17,11,33,29
00000274,2021-01-28,17,15,6,55
00000275,2021-06-22,11,12,40,9
00000276,2020-11-20,21,19,31,22
00000277,2022-05-30,25,18,12,19
00000278,2021-02-08,6,17,91,47
00000279,2021-02-01,28,14,23,17
00000280,2020-08-05,5,12,47,47
00000281,2022-11-21,5,10,53,91
00000282,2020-06-09,26,13,100,22
00000283,2021-12-09,18,1,96,97
00000284,2022-07-30,4,1,65,84
00000285,2022-03-16,17,7,13,97
00000286,2021-08-22,13,7,55,50
00000287,2021-07-30,31,3,17,27
00000288,2021-12-13,15,4,69,85
00000289,2021-01-06,8,16,72,35
00000290,2022-01-10,31,8,99,60
00000291,2022-08-23,22,12,29,13
00000292,2021-05-30,1,6,54,10
00000293,2020-10-30,21,3,30,15
00000294,2020-03-04,8,3,4,90
00000295,2022-06-13,3,8,59,15
00000296,2020-10-30,20,15,91,60
00000297,2021-08-29,2,11,100,75
00000298,2022-01-22,3,12,15,18
00000299,2021-08-20,2,7,10,2
00000300,2022-04-21,16,7,68,83
00000301,2020-03-31,10,7,16,22
00000302,2022-09-21,30,7,68,88
00000303,2022-11-08,8,9,87,78
00000304,2021-03-16,19,18,1,42
00000305,2022-01-28,23,14,36,66
00000306,2021-04-06,2,19,52,9
00000307,2022-04-05,5,7,1,63
00000308,2022-11-01,19,3,6,85
00000309,2022-04-09,16,16,19,92
00000310,2022-02-16,12,12,44,35
00000311,2022-12-27,22,4,73,45
00000312,2021-01-23,23,3,91,32
00000313,2021-08-22,24,11,47,8
00000314,2021-09-06,27,8,65,60
00000315,2020-08-18,20,15,16,65
00000316,2020-04-15,5,15,28,92
00000317,2022-05-30,31,8,88,13
00000318,2020-05-30,27,13,35,42
00000319,2022-03-07,20,15,65,23
00000320,2022-11-21,3,9,76,77
00000321,2022-12-10,13,4,57,94
00000322,2020-03-15,18,12,21,54
00000323,2022-07-30,20,1,50,51
00000324,2022-04-15,11,9,9,65
00000325,2022-11-19,15,16,49,15
00000326,2022-10-30,11,15,48,54
00000327,2022-02-07,20,6,86,71
00000328,2021-03-02,19,8,10,47
00000329,2020-08-30,20,12,39,68
00000330,2020-12-29,32,8,95,64
00000331,2022-02-19,7,12,95,23
00000332,2020-06-08,14,9,63,21
00000333,2020-12-26,32,7,7,37
00000334,2021-04-02,9,7,99,49
00000335,2020-12-30,29,11,12,82
00000336,2022-03-27,21,19,54,20
00000337,2020-05-30,25,17,99,19
00000338,2022-09-10,5,9,11,67
00000339,2022-04-24,23,10,31,7
00000340,2022-05-30,10,15,72,58
00000341,2020-07-30,32,14,46,67
00000342,2020-03-17,3,11,51,46
00000343,2022-01-21,30,19,53,12
00000344,2020-03-26,30,11,14,54
00000345,2020-05-30,14,11,98,77
00000346,2020-07-30,14,8,61,8
00000347,2020-12-01,3,8,46,55
00000348,2021-09-28,2,17,53,29
00000349,2022-11-29,17,15,89,39
00000350,2020-12-26,10,12,10,38
00000351,2022-02-24,4,15,66,94
00000352,2021-09-11,14,3,76,76
00000353,2020-03-04,16,19,90,44
00000354,2020-09-25,10,13,80,4
00000355,2021-07-30,15,17,85,95
00000356,2021-04-06,11,6,25,75
00000357,2020-07-30,4,16,76,52
00000358,2021-04-19,13,18,30,16
00000359,2022-07-30,17,3,76,43
00000360,2020-11-09,10,13,63,100
00000361,2020-01-31,32,20,72,63
00000362,2021-10-30,2,20,99,31
00000363,2022-04-04,19,14,35,25
00000364,2021-08-15,8,8,49,45
00000365,2021-09-06,7,9,27,80
00000366,2022-02-08,9,4,100,72
00000367,2021-12-20,31,16,22,33
00000368,2021-02-27,15,13,97,27
00000369,2022-08-31,14,19,65,5
00000370,2021-08-13,8,3,26,25
00000371,2021-01-24,27,2,45,26
00000372,2020-11-25,30,14,53,29
00000373,2021-12-30,24,1,7,39
00000374,2021-09-30,28,13,50,18
00000375,2021-07-30,20,7,20,78
00000376,2022-02-03,29,20,78,55
00000377,2021-09-15,6,9,3,86
00000378,2022-08-26,9,9,81,81
00000379,2020-06-13,30,18,99,6
00000380,2021-02-03,18,1,48,87
00000381,2022-06-23,24,1,57,60
00000382,2020-08-01,25,9,71,60
00000383,2021-01-31,2,1,81,87
00000384,2022-05-30,10,4,92,26
00000385,2021-02-28,13,18,99,99
00000386,2021-03-30,11,14,55,6
00000387,2020-08-14,6,20,45,93
00000388,2022-06-11,29,17,75,90
00000389,2020-10-30,11,18,45,60
00000390,2022-03-26,16,16,41,2
00000391,2022-01-23,27,13,66,32
00000392,2021-09-30,30,11,72,23
00000393,2021-10-30,5,2,60,97
00000394,2020-02-14,32,8,14,42
00000395,2020-11-10,4,6,10,41
00000396,2021-04-09,12,5,46,7
00000397,2020-07-30,12,5,10,37
00000398,2022-11-24,27,19,19,39
00000399,2022-01-28,12,14,14,15
00000400,2020-01-13,15,7,10,87
00000401,2021-04-01,13,9,12,73
00000402,2022-02-07,14,1,25,82
00000403,2021-02-11,29,7,41,82
00000404,2022-05-30,24,18,69,99
00000405,2022-07-30,20,15,78,73
00000406,2021-06-29,16,10,100,40
00000407,2021-08-31,16,16,77,33
00000408,2021-09-24,29,2,34,7
00000409,2020-11-22,24,10,37,54
00000410,2022-09-26,19,4,73,38
00000411,2022-12-14,20,9,60,41
00000412,2021-09-05,17,13,65,74
00000413,2021-09-25,11,5,94,96
00000414,2021-10-30,32,17,54,83
00000415,2020-02-06,26,20,79,22
00000416,2022-01-03,16,16,51,60
00000417,2021-12-30,18,1,12,13
00000418,2022-04-08,5,8,38,30
00000419,2020-04-24,5,1,91,70
00000420,2020-01-04,13,17,77,72
00000421,2020-02-14,15,17,19,77
00000422,2021-07-30,5,10,91,22
00000423,2020-10-30,1,13,21,21
00000424,2021-06-17,13,4,51,84
00000425,2022-09-02,10,17,72,54
00000426,2020-03-27,9,2,56,56
00000427,2022-08-10,16,13,95,99
00000428,2020-02-17,9,13,7,26
00000429,2021-03-07,8,7,63,24
00000430,2022-09-03,2,7,59,3
00000431,2021-07-30,19,19,52,89
00000432,2020-05-30,24,11,54,35
00000433,2020-12-25,22,6,54,75
00000434,2022-11-30,11,13,69,38
00000435,2022-11-29,22,16,54,51
00000436,2021-08-30,23,20,90,66
00000437,2020-08-18,21,13,74,2
00000438,2020-08-06,32,15,20,55
00000439,2020-06-22,18,12,89,85
00000440,2022-12-16,27,11,42,8
00000441,2020-08-18,16,1,16,10
00000442,2021-09-08,19,3,50,93
00000443,2021-12-02,13,5,59,43
00000444,2022-07-30,32,19,83,73
00000445,2021-11-10,1,3,13,27
00000446,2022-02-28,6,12,85,11
00000447,2021-01-10,17,2,78,63
00000448,2022-06-15,16,12,90,71
00000449,2021-04-26,26,14,54,31
00000450,2022-10-30,12,12,38,22
00000451,2021-04-09,21,19,3,84
00000452,2022-04-09,31,4,83,94
00000453,2021-02-13,20,8,48,68
00000454,2022-02-28,14,9,79,74
00000455,2022-04-12,22,7,45,11
00000456,2022-05-30,26,20,75,3
00000457,2022-08-27,7,3,100,73
00000458,2021-11-13,32,11,99,44
00000459,2021-02-13,7,18,58,58
00000460,2022-05-30,20,11,71,44
00000461,2022-07-30,8,15,46,85
00000462,2020-09-08,20,2,49,17
00000463,2022-11-11,10,16,55,15
00000464,2021-05-30,8,5,79,76
00000465,2022-09-05,26,4,47,40
00000466,2022-03-03,14,8,71,98
00000467,2021-05-01,6,18,81,43
00000468,2022-08-02,23,1,51,91
00000469,2021-02-15,12,15,52,30
00000470,2022-06-13,30,15,48,98
00000471,2020-07-01,20,7,29,54
00000472,2020-06-22,14,19,43,69
00000473,2021-08-26,5,14,75,22
00000474,2022-01-04,11,2,79,75
00000475,2022-04-28,5,10,81,46
00000476,2022-01-01,16,20,48,100
00000477,2020-01-06,22,2,11,7
00000478,2020-07-30,10,8,76,48
00000479,2020-11-29,12,17,32,81
00000480,2020-07-30,9,17,80,80
00000481,2021-09-15,20,13,61,75
00000482,2022-12-08,24,18,99,84
00000483,2021-11-14,27,13,66,99
00000484,2022-05-30,16,14,91,33
00000485,2021-11-27,25,18,49,40
00000486,2021-09-30,12,4,15,36
00000487,2021-10-30,12,7,55,92
00000488,2022-07-30,29,15,12,32
00000489,2021-08-23,1,19,37,68
00000490,2021-07-30,25,5,90,69
00000491,2020-11-12,7,5,43,49
00000492,2021-02-28,9,17,75,91
00000493,2020-01-19,18,6,63,48
00000494,2020-07-30,27,6,88,7
00000495,2022-12-20,32,10,99,76
00000496,2020-06-23,10,9,78,21
00000497,2021-08-28,8,15,88,53
00000498,2020-01-16,23,20,6,63
00000499,2020-05-30,18,15,46,25
00000500,2021-01-15,14,3,48,25
00000501,2020-02-28,16,1,61,80
00000502,2021-09-08,19,18,58,27
00000503,2020-11-12,29,2,100,49
00000504,2020-05-30,4,19,13,66
00000505,2020-12-23,13,10,72,14
00000506,2021-09-06,2,10,14,37
00000507,2021-08-27,26,9,100,57
00000508,2020-12-30,6,19,70,52
00000509,2021-09-15,7,18,20,96
00000510,2021-12-05,5,3,19,14
00000511,2022-04-05,4,19,25,8
00000512,2022-08-10,23,7,26,1
00000513,2020-08-30,15,18,65,64
00000514,2020-06-29,6,3,77,36
00000515,2022-05-30,5,20,61,20
00000516,2020-02-06,21,11,55,45
00000517,2022-08-21,19,10,72,15
00000518,2022-06-21,12,20,11,38
00000519,2020-08-13,11,10,73,49
00000520,2020-01-05,24,17,95,80
00000521,2022-09-05,8,13,38,26
00000522,2022-03-16,29,4,24,55
00000523,2022-11-19,31,5,38,4
00000524,2020-12-13,29,7,80,20
00000525,2022-01-14,22,18,14,17
00000526,2020-06-05,26,3,5,92
00000527,2021-08-14,11,6,44,32
00000528,2020-03-17,17,11,18,86
00000529,2021-02-18,30,5,68,94
00000530,2020-03-01,5,3,92,16
00000531,2021-04-03,4,10,61,37
00000532,2021-08-21,9,13,11,100
00000533,2020-05-30,27,1,1,12
00000534,2021-09-25,2,14,10,15
00000535,2022-06-26,26,10,34,1
00000536,2022-07-01,6,19,98,12
00000537,2021-01-18,11,20,22,66
00000538,2021-08-19,26,3,43,69
00000539,2020-03-20,25,9,41,64
00000540,2020-11-01,13,13,61,47
00000541,2022-11-27,1,18,50,69
00000542,2020-06-18,17,7,42,59
00000543,2021-06-25,28,9,73,36
00000544,2020-03-10,12,10,9,12
00000545,2021-04-01,11,17,49,31
00000546,2020-10-30,32,17,34,96
00000547,2020-08-23,10,20,27,10
00000548,2020-05-30,15,14,41,78
00000549,2022-03-30,20,20,23,86
00000550,2022-03-31,7,15,24,11
00000551,2021-07-30,25,15,60,6
00000552,2020-05-30,15,20,45,69
00000553,2022-07-30,9,3,79,83
00000554,2020-09-28,27,3,32,38
00000555,2020-02-14,29,20,17,45
00000556,2021-11-23,16,5,16,14
00000557,2021-03-17,16,16,17,66
00000558,2020-10-30,14,12,2,52
00000559,2021-06-10,8,7,41,66
00000560,2020-11-27,14,4,84,74
00000561,2022-03-04,25,16,6,8
00000562,2022-11-17,8,15,52,87
00000563,2020-02-16,25,6,84,4
00000564,2021-06-17,26,2,74,70
00000565,2020-03-19,21,3,91,48
00000566,2021-09-06,11,17,98,64
00000567,2022-07-30,29,4,91,78
00000568,2021-08-30,3,15,71,38
00000569,2020-03-23,14,17,59,40
00000570,2020-12-14,24,2,11,47
00000571,2020-12-01,5,1,25,70
00000572,2022-01-27,20,4,18,6
00000573,2021-02-19,12,20,26,14
00000574,2020-03-30,13,20,93,92
00000575,2020-03-15,2,20,34,60
00000576,2022-08-17,2,20,12,79
00000577,2021-02-22,12,10,12,71
00000578,2020-10-30,30,20,57,18
00000579,2020-01-02,9,2,1,13
00000580,2020-09-18,32,15,68,90
00000581,2021-09-05,12,8,15,75
00000582,2020-04-16,7,5,81,14
00000583,2022-11-12,28,11,65,74
00000584,2020-10-30,8,15,88,84
00000585,2021-07-30,5,3,81,7
00000586,2021-09-10,21,3,25,32
00000587,2021-12-29,22,15,77,72
00000588,2021-10-30,25,4,82,55
00000589,2022-01-20,23,1,17,76
00000590,2022-04-18,7,17,31,60
00000591,2022-09-27,13,2,18,72
00000592,2020-03-22,23,8,45,17
00000593,2020-05-30,1,2,61,14
00000594,2022-08-05,22,10,73,19
00000595,2020-02-20,29,16,93,33
00000596,2020-05-30,20,13,40,22
00000597,2020-11-14,10,4,87,54
00000598,2021-06-06,12,11,62,71
00000599,2020-05-30,13,5,80,26
00000600,2021-10-30,28,2,9,41
00000601,2020-06-28,11,17,82,35
00000602,2022-03-13,16,20,35,54
00000603,2022-02-28,7,9,66,79
00000604,2022-09-27,12,11,34,79
00000605,2020-03-05,3,12,74,82
00000606,2020-08-10,8,18,18,78
00000607,2022-04-14,26,16,73,52
00000608,2021-02-08,26,16,14,55
00000609,2021-08-20,24,20,68,74
00000610,2021-08-03,9,8,93,56
00000611,2020-05-30,11,9,98,59
00000612,2022-10-30,6,2,40,8
00000613,2021-02-13,30,3,27,100
00000614,2021-05-30,6,11,68,37
00000615,2020-07-30,4,14,2,37
00000616,2021-06-05,15,2,77,92
00000617,2021-07-30,3,9,72,35
00000618,2020-05-30,31,19,60,93
00000619,2022-04-02,25,5,45,100
00000620,2020-05-30,9,6,93,46
00000621,2020-03-29,28,13,12,20
00000622,2021-09-18,10,2,55,49
00000623,2021-08-13,16,14,62,68
00000624,2021-01-11,30,10,9,4
00000625,2021-11-28,23,19,31,51
00000626,2021-05-30,28,1,9,58
00000627,2020-11-08,10,7,61,92
00000628,2022-06-24,14,16,33,94
00000629,2021-04-05,7,12,51,89
00000630,2020-05-30,32,5,70,58
00000631,2020-04-25,22,6,42,26
00000632,2022-05-30,22,2,82,71
00000633,2022-11-09,30,16,19,39
00000634,2021-03-15,24,11,1,51
00000635,2020-11-23,14,1,79,24
00000636,2020-10-30,21,2,85,65
00000637,2020-01-10,17,13,2,71
00000638,2022-03-23,17,2,99,45
00000639,2020-10-30,32,12,65,31
00000640,2020-12-16,28,8,17,28
00000641,2022-03-14,15,20,46,74
00000642,2022-10-30,26,2,46,40
00000643,2020-08-18,1,15,47,61
00000644,2021-08-02,9,5,48,62
00000645,2021-01-20,27,4,90,78
00000646,2021-11-19,13,7,44,63
00000647,2020-12-01,31,11,8,26
00000648,2021-07-30,16,14,19,83
00000649,2022-08-09,20,3,22,12
00000650,2022-09-23,26,6,1,68
00000651,2022-08-21,25,16,84,99
00000652,2020-08-17,23,15,6,47
00000653,2020-03-22,30,17,50,41
00000654,2020-01-13,32,10,94,7
00000655,2022-05-30,29,11,84,89
00000656,2020-02-28,8,7,42,86
00000657,2021-11-06,5,5,92,33
00000658,2022-06-01,20,1,52,12
00000659,2020-07-30,23,11,62,46
00000660,2021-02-17,3,10,83,3
00000661,2022-09-16,20,20,70,23
00000662,2022-03-04,30,15,95,10
00000663,2022-05-30,24,1,16,30
00000664,2021-07-30,3,10,69,21
00000665,2021-08-10,5,7,69,97
00000666,2022-09-20,32,17,93,82
00000667,2021-09-24,11,17,54,82
00000668,2022-09-07,12,11,3,3
00000669,2021-12-01,20,18,75,22
00000670,2022-02-10,30,4,54,33
00000671,2020-05-30,8,18,82,35
00000672,2021-09-29,32,8,38,78
00000673,2022-03-20,2,6,16,25
00000674,2022-03-02,27,20,28,31
00000675,2021-05-30,17,19,36,35
00000676,2021-07-30,6,8,67,39
00000677,2022-09-15,22,17,91,37
00000678,2022-11-23,6,15,21,100
00000679,2021-11-01,3,13,35,2
00000680,2022-12-01,29,2,83,6
00000681,2021-09-20,22,8,49,48
00000682,2020-12-29,22,1,50,45
00000683,2021-03-08,11,6,69,11
00000684,2022-05-30,24,4,62,33
00000685,2020-05-30,22,15,20,100
00000686,2021-06-13,8,7,3,95
00000687,2020-01-26,26,6,65,23
00000688,2021-10-01,28,15,93,28
00000689,2021-10-30,6,17,6,44
00000690,2021-01-28,14,9,18,57
00000691,2021-06-24,27,18,31,42
00000692,2020-08-25,28,4,55,94
00000693,2020-08-24,13,4,18,74
00000694,2020-05-30,28,16,2,5
00000695,2022-06-26,16,19,60,52
00000696,2020-09-18,18,18,96,91
00000697,2022-10-30,25,2,71,7
00000698,2021-06-28,18,4,31,74
00000699,2020-10-30,14,18,45,17
00000700,2020-09-18,28,15,97,95
00000701,2020-08-03,31,4,16,41
00000702,2021-07-30,18,20,19,49
00000703,2022-09-12,21,19,32,72
00000704,2020-05-30,24,19,41,45
00000705,2020-08-13,21,18,2,20
00000706,2020-11-24,30,13,20,5
00000707,2020-03-28,2,6,31,94
00000708,2021-01-28,6,16,58,90
00000709,2021-03-09,24,11,20,60
00000710,2021-06-11,31,4,1,93
00000711,2022-01-14,20,12,79,97
00000712,2022-01-18,9,20,82,58
00000713,2021-01-07,7,12,98,43
00000714,2021-12-01,26,8,17,17
00000715,2021-10-30,30,2,50,28
00000716,2021-12-29,24,20,59,36
00000717,2022-11-14,17,3,77,72
00000718,2020-04-25,10,6,90,44
00000719,2021-05-30,7,14,72,5
00000720,2021-07-30,27,9,73,14
00000721,2021-02-02,28,6,94,21
00000722,2022-05-30,21,3,31,39
00000723,2021-01-29,23,19,50,83
00000724,2021-01-17,23,20,55,82
00000725,2021-03-22,8,17,84,63
00000726,2020-04-26,19,19,51,37
00000727,2022-05-30,1,16,99,21
00000728,2021-12-03,6,19,64,54
00000729,2020-09-07,12,13,72,66
00000730,2021-04-11,16,10,25,19
00000731,2021-10-30,11,15,67,25
00000732,2022-09-03,24,20,67,33
