FOLIO,FECHA,ESTADO,CIUDAD,TIENDA,EMPLEADO
00000055,03/ene/22,8,6,37,66
00000056,30/may/22,29,12,11,61
00000057,30/may/20,11,3,1,29
00000058,15/dic/22,7,16,46,89
00000059,04/mar/20,19,8,53,60
00000060,29/abr/21,29,19,19,42
00000061,19/jun/22,19,14,1,74
00000062,04/feb/21,22,18,18,63
00000063,22/dic/22,1,4,40,17
00000064,30/oct/22,9,7,63,37
00000065,30/oct/21,14,13,58,50
00000066,07/abr/21,14,1,47,59
00000067,05/ago/21,10,1,91,71
00000068,01/abr/21,28,12,16,76
00000069,01/ene/22,17,7,50,41
00000070,01/nov/22,27,20,32,3
00000071,29/jun/21,3,9,72,99
00000072,24/mar/21,8,12,46,84
00000073,30/oct/20,10,9,38,57
00000074,26/ago/22,8,13,73,2
00000075,07/jun/21,11,13,87,10
00000076,26/nov/21,29,3,91,85
00000077,08/nov/22,12,4,66,64
00000078,05/nov/21,29,15,27,77
00000079,30/jul/20,32,20,8,5
00000080,09/mar/22,25,9,40,19
00000081,17/nov/20,12,1,86,69
00000082,06/ene/21,12,19,74,41
00000083,30/jul/21,28,14,4,43
00000084,19/jun/22,19,15,33,11
00000085,01/ene/21,16,3,45,29
00000086,30/jul/20,23,4,94,9
00000087,07/abr/21,16,16,90,100
00000088,11/jun/21,11,19,73,29
00000089,09/feb/20,24,5,95,65
00000090,01/nov/21,11,13,78,78
00000091,08/feb/22,21,20,74,26
00000092,20/nov/21,10,5,78,60
00000093,30/may/20,5,14,12,63
00000094,07/abr/20,19,4,54,5
00000095,30/oct/21,25,18,47,57
00000096,12/mar/21,2,15,31,53
00000097,29/jun/22,24,1,22,10
00000098,22/abr/22,32,5,49,25
00000099,28/feb/22,2,4,3,61
00000100,12/mar/22,14,7,64,60
00000101,13/nov/21,28,18,96,99
00000102,10/nov/21,21,1,10,3
00000103,08/ene/21,25,1,60,60
00000104,25/mar/20,22,3,57,77
00000105,17/abr/21,3,3,51,24
00000106,04/nov/20,3,14,36,85
00000107,04/dic/22,20,4,14,81
00000108,30/dic/20,22,5,33,74
00000109,27/sep/22,28,8,43,55
00000110,03/ene/22,2,7,29,54
00000111,25/jun/21,8,11,64,1
00000112,29/jun/22,9,19,91,45
00000113,22/nov/20,18,14,60,89
00000114,15/jun/21,22,13,78,88
00000115,13/jun/20,22,19,29,5
00000116,14/mar/22,12,11,45,62
00000117,23/abr/21,24,2,39,84
00000118,17/sep/21,8,3,27,24
00000119,02/mar/21,13,10,85,42
00000120,28/feb/21,31,19,26,92
00000121,29/mar/21,28,9,72,73
00000122,09/feb/20,5,18,55,13
00000123,30/oct/22,16,10,23,8
00000124,14/dic/21,20,18,92,48
00000125,21/abr/20,24,17,3,67
00000126,25/jun/21,27,20,26,12
00000127,22/feb/20,15,8,12,43
00000128,30/sep/21,4,3,40,22
00000129,13/ago/22,8,20,95,2
00000130,30/oct/22,11,13,65,61
00000131,27/dic/22,2,12,14,23
00000132,30/may/20,12,18,39,85
00000133,23/feb/22,12,17,78,9
00000134,25/mar/22,10,19,93,25
00000135,07/mar/22,22,4,99,18
00000136,06/mar/20,14,16,10,13
00000137,28/feb/20,17,16,40,54
00000138,17/abr/20,31,5,63,42
00000139,11/feb/21,21,5,3,62
00000140,14/ago/20,32,10,49,35
00000141,21/jun/20,30,1,3,3
00000142,30/abr/20,19,4,29,87
00000143,30/ago/21,21,1,85,60
00000144,18/abr/22,15,14,46,44
00000145,12/dic/22,32,10,75,72
00000146,18/feb/22,11,4,77,75
00000147,30/jul/20,3,19,9,93
00000148,14/dic/20,22,1,86,31
00000149,30/may/22,22,17,89,28
00000150,29/sep/21,15,17,36,2
00000151,30/may/21,24,15,67,90
00000152,30/oct/21,22,15,5,32
00000153,30/may/20,3,19,61,78
00000154,01/ene/21,3,4,32,57
00000155,11/jun/22,24,3,58,30
00000156,06/feb/22,32,17,36,83
00000157,01/sep/21,28,18,70,20
00000158,26/dic/21,24,6,55,2
00000159,11/jun/21,1,16,49,10
00000160,03/abr/21,9,11,61,92
00000161,24/sep/22,18,16,12,55
00000162,23/nov/21,18,8,68,14
00000163,28/mar/20,23,5,78,47
00000164,29/mar/21,25,11,12,98
00000165,19/jun/22,3,11,82,74
00000166,07/mar/22,28,20,4,36
00000167,15/mar/22,2,4,1,58
00000168,11/jun/22,14,10,13,46
00000169,30/may/20,5,12,46,24
00000170,28/nov/21,31,2,91,19
00000171,16/mar/20,9,7,27,32
00000172,09/ago/20,17,19,77,14
00000173,01/jun/20,25,17,87,21
00000174,21/ago/20,26,5,9,66
00000175,14/ago/20,6,7,33,45
00000176,30/may/21,25,20,96,100
00000177,26/jun/22,5,10,76,58
00000178,05/feb/20,20,3,87,27
00000179,30/may/22,7,10,1,79
00000180,10/jun/20,25,8,52,50
00000181,28/feb/22,13,18,64,28
00000182,09/ene/22,4,14,34,23
00000183,09/feb/20,20,10,76,54
00000184,21/ene/20,10,16,58,44
00000185,22/nov/20,2,3,6,93
00000186,31/sep/22,14,17,3,90
00000187,24/ene/21,28,4,84,16
00000188,14/ago/22,26,10,74,65
00000189,16/jun/20,6,13,53,80
00000190,30/may/22,7,15,25,87
00000191,30/jul/20,32,16,20,81
00000192,08/mar/20,17,6,26,33
00000193,06/sep/22,7,10,22,69
00000194,08/jun/22,12,4,84,90
00000195,13/ene/21,10,4,14,76
00000196,06/ago/20,4,4,58,37
00000197,30/ene/22,31,11,37,25
00000198,30/may/22,5,13,47,53
00000199,26/abr/22,6,11,95,50
00000200,08/feb/22,26,5,84,71
00000201,10/feb/20,2,19,29,29
00000202,30/may/20,19,20,45,12
00000203,19/nov/21,10,5,43,43
00000204,30/may/20,17,19,9,99
00000205,30/may/22,12,11,49,19
00000206,30/jul/21,14,19,64,73
00000207,07/ago/20,20,16,90,72
00000208,25/abr/22,3,13,70,51
00000209,30/jul/21,29,18,68,78
00000210,27/abr/20,15,20,1,69
00000211,30/may/22,25,16,30,19
00000212,28/mar/22,29,11,61,67
00000213,24/feb/21,11,3,50,19
00000214,02/sep/21,15,17,47,60
00000215,30/oct/22,20,14,39,74
00000216,30/oct/20,12,5,15,13
00000217,30/jul/20,6,14,65,40
00000218,16/nov/21,9,10,70,39
00000219,01/ene/20,20,4,67,14
00000220,28/nov/21,13,19,38,64
00000221,28/ene/21,15,15,42,88
00000222,30/may/21,24,12,97,12
00000223,12/abr/22,15,4,37,19
00000224,09/abr/20,22,6,50,60
00000225,30/jul/22,21,7,29,38
00000226,10/mar/21,25,15,88,45
00000227,11/nov/22,32,13,90,17
00000228,30/dic/22,20,18,3,25
00000229,28/jun/22,4,6,83,22
00000230,14/nov/22,14,5,42,7
00000231,16/ago/22,19,18,14,13
00000232,05/mar/22,8,12,73,92
00000233,24/feb/21,21,20,58,28
00000234,20/ene/21,32,5,20,8
00000235,03/jun/22,8,14,1,48
00000236,30/oct/22,24,19,80,27
00000237,04/sep/22,11,3,7,56
00000238,09/dic/20,17,7,46,77
00000239,17/mar/22,1,19,3,3
00000240,25/jun/21,2,16,32,34
00000241,27/dic/20,29,7,56,34
00000242,21/ene/22,19,4,49,90
00000243,27/ene/22,8,1,22,99
00000244,30/jun/20,24,11,81,57
00000245,28/ago/22,9,15,26,95
00000246,30/oct/22,21,15,61,2
00000247,30/oct/20,11,8,82,5
00000248,08/jun/22,4,10,15,71
00000249,09/ago/20,16,10,16,87
00000250,25/sep/22,32,10,42,79
00000251,30/may/21,13,8,51,46
00000252,02/dic/22,24,16,80,46
00000253,05/dic/20,20,20,18,76
00000254,30/may/22,31,4,20,67
00000255,11/ene/22,31,18,37,87
00000256,30/oct/22,10,2,18,46
00000257,16/jun/20,1,5,50,22
00000258,13/mar/21,9,16,26,58
00000259,26/ene/20,14,19,16,12
00000260,30/oct/21,9,20,7,16
00000261,06/jun/22,30,16,73,26
00000262,30/may/22,27,4,6,11
00000263,22/abr/21,24,17,19,100
00000264,15/abr/22,14,9,44,100
00000265,30/jul/21,30,15,50,59
00000266,17/ago/22,1,8,59,91
00000267,20/dic/21,4,6,98,42
00000268,30/jul/21,32,5,38,88
00000269,28/feb/21,3,20,3,74
00000270,30/jul/22,11,12,69,68
00000271,30/may/20,21,7,75,8
00000272,30/jul/20,24,17,82,39
00000273,29/ago/22,17,11,33,29
00000274,28/ene/21,17,15,6,55
00000275,22/jun/21,11,12,40,9
00000276,20/nov/20,21,19,31,22
00000277,30/may/22,25,18,12,19
00000278,08/feb/21,6,17,91,47
00000279,01/feb/21,28,14,23,17
00000280,05/ago/20,5,12,47,47
00000281,21/nov/22,5,10,53,91
00000282,09/jun/20,26,13,100,22
00000283,09/dic/21,18,1,96,97
00000284,30/jul/22,4,1,65,84
00000285,16/mar/22,17,7,13,97
00000286,22/ago/21,13,7,55,50
00000287,30/jul/21,31,3,17,27
00000288,13/dic/21,15,4,69,85
00000289,06/ene/21,8,16,72,35
00000290,10/ene/22,31,8,99,60
00000291,23/ago/22,22,12,29,13
00000292,30/may/21,1,6,54,10
00000293,30/oct/20,21,3,30,15
00000294,04/mar/20,8,3,4,90
00000295,13/jun/22,3,8,59,15
00000296,30/oct/20,20,15,91,60
00000297,29/ago/21,2,11,100,75
00000298,22/ene/22,3,12,15,18
00000299,20/ago/21,2,7,10,2
00000300,21/abr/22,16,7,68,83
00000301,31/mar/20,10,7,16,22
00000302,21/sep/22,30,7,68,88
00000303,08/nov/22,8,9,87,78
00000304,16/mar/21,19,18,1,42
00000305,28/ene/22,23,14,36,66
00000306,06/abr/21,2,19,52,9
00000307,05/abr/22,5,7,1,63
00000308,01/nov/22,19,3,6,85
00000309,09/abr/22,16,16,19,92
00000310,16/feb/22,12,12,44,35
00000311,27/dic/22,22,4,73,45
00000312,23/ene/21,23,3,91,32
00000313,22/ago/21,24,11,47,8
00000314,06/sep/21,27,8,65,60
00000315,18/ago/20,20,15,16,65
00000316,15/abr/20,5,15,28,92
00000317,30/may/22,31,8,88,13
00000318,30/may/20,27,13,35,42
00000319,07/mar/22,20,15,65,23
00000320,21/nov/22,3,9,76,77
00000321,10/dic/22,13,4,57,94
00000322,15/mar/20,18,12,21,54
00000323,30/jul/22,20,1,50,51
00000324,15/abr/22,11,9,9,65
00000325,19/nov/22,15,16,49,15
00000326,30/oct/22,11,15,48,54
00000327,07/feb/22,20,6,86,71
00000328,02/mar/21,19,8,10,47
00000329,30/ago/20,20,12,39,68
00000330,29/dic/20,32,8,95,64
00000331,19/feb/22,7,12,95,23
00000332,08/jun/20,14,9,63,21
00000333,26/dic/20,32,7,7,37
00000334,02/abr/21,9,7,99,49
00000335,30/dic/20,29,11,12,82
00000336,27/mar/22,21,19,54,20
00000337,30/may/20,25,17,99,19
00000338,10/sep/22,5,9,11,67
00000339,24/abr/22,23,10,31,7
00000340,30/may/22,10,15,72,58
00000341,30/jul/20,32,14,46,67
00000342,17/mar/20,3,11,51,46
00000343,21/ene/22,30,19,53,12
00000344,26/mar/20,30,11,14,54
00000345,30/may/20,14,11,98,77
00000346,30/jul/20,14,8,61,8
00000347,31/nov/20,3,8,46,55
00000348,28/sep/21,2,17,53,29
00000349,29/nov/22,17,15,89,39
00000350,26/dic/20,10,12,10,38
00000351,24/feb/22,4,15,66,94
00000352,11/sep/21,14,3,76,76
00000353,04/mar/20,16,19,90,44
00000354,25/sep/20,10,13,80,4
00000355,30/jul/21,15,17,85,95
00000356,06/abr/21,11,6,25,75
00000357,30/jul/20,4,16,76,52
00000358,19/abr/21,13,18,30,16
00000359,30/jul/22,17,3,76,43
00000360,09/nov/20,10,13,63,100
00000361,31/ene/20,32,20,72,63
00000362,30/oct/21,2,20,99,31
00000363,04/abr/22,19,14,35,25
00000364,15/ago/21,8,8,49,45
00000365,06/sep/21,7,9,27,80
00000366,08/feb/22,9,4,100,72
00000367,20/dic/21,31,16,22,33
00000368,27/feb/21,15,13,97,27
00000369,31/ago/22,14,19,65,5
00000370,13/ago/21,8,3,26,25
00000371,24/ene/21,27,2,45,26
00000372,25/nov/20,30,14,53,29
00000373,30/dic/21,24,1,7,39
00000374,30/sep/21,28,13,50,18
00000375,30/jul/21,20,7,20,78
00000376,03/feb/22,29,20,78,55
00000377,15/sep/21,6,9,3,86
00000378,26/ago/22,9,9,81,81
00000379,13/jun/20,30,18,99,6
00000380,03/feb/21,18,1,48,87
00000381,23/jun/22,24,1,57,60
00000382,01/ago/20,25,9,71,60
00000383,31/ene/21,2,1,81,87
00000384,30/may/22,10,4,92,26
00000385,28/feb/21,13,18,99,99
00000386,30/mar/21,11,14,55,6
00000387,14/ago/20,6,20,45,93
00000388,11/jun/22,29,17,75,90
00000389,30/oct/20,11,18,45,60
00000390,26/mar/22,16,16,41,2
00000391,23/ene/22,27,13,66,32
00000392,30/sep/21,30,11,72,23
00000393,30/oct/21,5,2,60,97
00000394,14/feb/20,32,8,14,42
00000395,10/nov/20,4,6,10,41
00000396,09/abr/21,12,5,46,7
00000397,30/jul/20,12,5,10,37
00000398,24/nov/22,27,19,19,39
00000399,28/ene/22,12,14,14,15
00000400,13/ene/20,15,7,10,87
00000401,01/abr/21,13,9,12,73
00000402,07/feb/22,14,1,25,82
00000403,11/feb/21,29,7,41,82
00000404,30/may/22,24,18,69,99
00000405,30/jul/22,20,15,78,73
00000406,29/jun/21,16,10,100,40
00000407,31/ago/21,16,16,77,33
00000408,24/sep/21,29,2,34,7
00000409,22/nov/20,24,10,37,54
00000410,26/sep/22,19,4,73,38
00000411,14/dic/22,20,9,60,41
00000412,05/sep/21,17,13,65,74
00000413,25/sep/21,11,5,94,96
00000414,30/oct/21,32,17,54,83
00000415,06/feb/20,26,20,79,22
00000416,03/ene/22,16,16,51,60
00000417,30/dic/21,18,1,12,13
00000418,08/abr/22,5,8,38,30
00000419,24/abr/20,5,1,91,70
00000420,04/ene/20,13,17,77,72
00000421,14/feb/20,15,17,19,77
00000422,30/jul/21,5,10,91,22
00000423,30/oct/20,1,13,21,21
00000424,17/jun/21,13,4,51,84
00000425,02/sep/22,10,17,72,54
00000426,27/mar/20,9,2,56,56
00000427,10/ago/22,16,13,95,99
00000428,17/feb/20,9,13,7,26
00000429,07/mar/21,8,7,63,24
00000430,03/sep/22,2,7,59,3
00000431,30/jul/21,19,19,52,89
00000432,30/may/20,24,11,54,35
00000433,25/dic/20,22,6,54,75
00000434,30/nov/22,11,13,69,38
00000435,29/nov/22,22,16,54,51
00000436,30/ago/21,23,20,90,66
00000437,18/ago/20,21,13,74,2
00000438,06/ago/20,32,15,20,55
00000439,22/jun/20,18,12,89,85
00000440,16/dic/22,27,11,42,8
00000441,18/ago/20,16,1,16,10
00000442,08/sep/21,19,3,50,93
00000443,02/dic/21,13,5,59,43
00000444,30/jul/22,32,19,83,73
00000445,10/nov/21,1,3,13,27
00000446,28/feb/22,6,12,85,11
00000447,10/ene/21,17,2,78,63
00000448,15/jun/22,16,12,90,71
00000449,26/abr/21,26,14,54,31
00000450,30/oct/22,12,12,38,22
00000451,09/abr/21,21,19,3,84
00000452,09/abr/22,31,4,83,94
00000453,13/feb/21,20,8,48,68
00000454,28/feb/22,14,9,79,74
00000455,12/abr/22,22,7,45,11
00000456,30/may/22,26,20,75,3
00000457,27/ago/22,7,3,100,73
00000458,13/nov/21,32,11,99,44
00000459,13/feb/21,7,18,58,58
00000460,30/may/22,20,11,71,44
00000461,30/jul/22,8,15,46,85
00000462,08/sep/20,20,2,49,17
00000463,11/nov/22,10,16,55,15
00000464,30/may/21,8,5,79,76
00000465,05/sep/22,26,4,47,40
00000466,03/mar/22,14,8,71,98
00000467,31/abr/21,6,18,81,43
00000468,02/ago/22,23,1,51,91
00000469,15/feb/21,12,15,52,30
00000470,13/jun/22,30,15,48,98
00000471,31/jun/20,20,7,29,54
00000472,22/jun/20,14,19,43,69
00000473,26/ago/21,5,14,75,22
00000474,04/ene/22,11,2,79,75
00000475,28/abr/22,5,10,81,46
00000476,01/ene/22,16,20,48,100
00000477,06/ene/20,22,2,11,7
00000478,30/jul/20,10,8,76,48
00000479,29/nov/20,12,17,32,81
00000480,30/jul/20,9,17,80,80
00000481,15/sep/21,20,13,61,75
00000482,08/dic/22,24,18,99,84
00000483,14/nov/21,27,13,66,99
00000484,30/may/22,16,14,91,33
00000485,27/nov/21,25,18,49,40
00000486,30/sep/21,12,4,15,36
00000487,30/oct/21,12,7,55,92
00000488,30/jul/22,29,15,12,32
00000489,23/ago/21,1,19,37,68
00000490,30/jul/21,25,5,90,69
00000491,12/nov/20,7,5,43,49
00000492,28/feb/21,9,17,75,91
00000493,19/ene/20,18,6,63,48
00000494,30/jul/20,27,6,88,7
00000495,20/dic/22,32,10,99,76
00000496,23/jun/20,10,9,78,21
00000497,28/ago/21,8,15,88,53
00000498,16/ene/20,23,20,6,63
00000499,30/may/20,18,15,46,25
00000500,15/ene/21,14,3,48,25
00000501,28/feb/20,16,1,61,80
00000502,08/sep/21,19,18,58,27
00000503,12/nov/20,29,2,100,49
00000504,30/may/20,4,19,13,66
00000505,23/dic/20,13,10,72,14
00000506,06/sep/21,2,10,14,37
00000507,27/ago/21,26,9,100,57
00000508,30/dic/20,6,19,70,52
00000509,15/sep/21,7,18,20,96
00000510,05/dic/21,5,3,19,14
00000511,05/abr/22,4,19,25,8
00000512,10/ago/22,23,7,26,1
00000513,30/ago/20,15,18,65,64
00000514,29/jun/20,6,3,77,36
00000515,30/may/22,5,20,61,20
00000516,06/feb/20,21,11,55,45
00000517,21/ago/22,19,10,72,15
00000518,21/jun/22,12,20,11,38
00000519,13/ago/20,11,10,73,49
00000520,05/ene/20,24,17,95,80
00000521,05/sep/22,8,13,38,26
00000522,16/mar/22,29,4,24,55
00000523,19/nov/22,31,5,38,4
00000524,13/dic/20,29,7,80,20
00000525,14/ene/22,22,18,14,17
00000526,05/jun/20,26,3,5,92
00000527,14/ago/21,11,6,44,32
00000528,17/mar/20,17,11,18,86
00000529,18/feb/21,30,5,68,94
00000530,01/mar/20,5,3,92,16
00000531,03/abr/21,4,10,61,37
00000532,21/ago/21,9,13,11,100
00000533,30/may/20,27,1,1,12
00000534,25/sep/21,2,14,10,15
00000535,26/jun/22,26,10,34,1
00000536,31/jun/22,6,19,98,12
00000537,18/ene/21,11,20,22,66
00000538,19/ago/21,26,3,43,69
00000539,20/mar/20,25,9,41,64
00000540,01/nov/20,13,13,61,47
00000541,27/nov/22,1,18,50,69
00000542,18/jun/20,17,7,42,59
00000543,25/jun/21,28,9,73,36
00000544,10/mar/20,12,10,9,12
00000545,01/abr/21,11,17,49,31
00000546,30/oct/20,32,17,34,96
00000547,23/ago/20,10,20,27,10
00000548,30/may/20,15,14,41,78
00000549,30/mar/22,20,20,23,86
00000550,31/mar/22,7,15,24,11
00000551,30/jul/21,25,15,60,6
00000552,30/may/20,15,20,45,69
00000553,30/jul/22,9,3,79,83
00000554,28/sep/20,27,3,32,38
00000555,14/feb/20,29,20,17,45
00000556,23/nov/21,16,5,16,14
00000557,17/mar/21,16,16,17,66
00000558,30/oct/20,14,12,2,52
00000559,10/jun/21,8,7,41,66
00000560,27/nov/20,14,4,84,74
00000561,04/mar/22,25,16,6,8
00000562,17/nov/22,8,15,52,87
00000563,16/feb/20,25,6,84,4
00000564,17/jun/21,26,2,74,70
00000565,19/mar/20,21,3,91,48
00000566,06/sep/21,11,17,98,64
00000567,30/jul/22,29,4,91,78
00000568,30/ago/21,3,15,71,38
00000569,23/mar/20,14,17,59,40
00000570,14/dic/20,24,2,11,47
00000571,31/nov/20,5,1,25,70
00000572,27/ene/22,20,4,18,6
00000573,19/feb/21,12,20,26,14
00000574,30/mar/20,13,20,93,92
00000575,15/mar/20,2,20,34,60
00000576,17/ago/22,2,20,12,79
00000577,22/feb/21,12,10,12,71
00000578,30/oct/20,30,20,57,18
00000579,02/ene/20,9,2,1,13
00000580,18/sep/20,32,15,68,90
00000581,05/sep/21,12,8,15,75
00000582,16/abr/20,7,5,81,14
00000583,12/nov/22,28,11,65,74
00000584,30/oct/20,8,15,88,84
00000585,30/jul/21,5,3,81,7
00000586,10/sep/21,21,3,25,32
00000587,29/dic/21,22,15,77,72
00000588,30/oct/21,25,4,82,55
00000589,20/ene/22,23,1,17,76
00000590,18/abr/22,7,17,31,60
00000591,27/sep/22,13,2,18,72
00000592,22/mar/20,23,8,45,17
00000593,30/may/20,1,2,61,14
00000594,05/ago/22,22,10,73,19
00000595,20/feb/20,29,16,93,33
00000596,30/may/20,20,13,40,22
00000597,14/nov/20,10,4,87,54
00000598,06/jun/21,12,11,62,71
00000599,30/may/20,13,5,80,26
00000600,30/oct/21,28,2,9,41
00000601,28/jun/20,11,17,82,35
00000602,13/mar/22,16,20,35,54
00000603,28/feb/22,7,9,66,79
00000604,27/sep/22,12,11,34,79
00000605,05/mar/20,3,12,74,82
00000606,10/ago/20,8,18,18,78
00000607,14/abr/22,26,16,73,52
00000608,08/feb/21,26,16,14,55
00000609,20/ago/21,24,20,68,74
00000610,03/ago/21,9,8,93,56
00000611,30/may/20,11,9,98,59
00000612,30/oct/22,6,2,40,8
00000613,13/feb/21,30,3,27,100
00000614,30/may/21,6,11,68,37
00000615,30/jul/20,4,14,2,37
00000616,05/jun/21,15,2,77,92
00000617,30/jul/21,3,9,72,35
00000618,30/may/20,31,19,60,93
00000619,02/abr/22,25,5,45,100
00000620,30/may/20,9,6,93,46
00000621,29/mar/20,28,13,12,20
00000622,18/sep/21,10,2,55,49
00000623,13/ago/21,16,14,62,68
00000624,11/ene/21,30,10,9,4
00000625,28/nov/21,23,19,31,51
00000626,30/may/21,28,1,9,58
00000627,08/nov/20,10,7,61,92
00000628,24/jun/22,14,16,33,94
00000629,05/abr/21,7,12,51,89
00000630,30/may/20,32,5,70,58
00000631,25/abr/20,22,6,42,26
00000632,30/may/22,22,2,82,71
00000633,09/nov/22,30,16,19,39
00000634,15/mar/21,24,11,1,51
00000635,23/nov/20,14,1,79,24
00000636,30/oct/20,21,2,85,65
00000637,10/ene/20,17,13,2,71
00000638,23/mar/22,17,2,99,45
00000639,30/oct/20,32,12,65,31
00000640,16/dic/20,28,8,17,28
00000641,14/mar/22,15,20,46,74
00000642,30/oct/22,26,2,46,40
00000643,18/ago/20,1,15,47,61
00000644,02/ago/21,9,5,48,62
00000645,20/ene/21,27,4,90,78
00000646,19/nov/21,13,7,44,63
00000647,01/dic/20,31,11,8,26
00000648,30/jul/21,16,14,19,83
00000649,09/ago/22,20,3,22,12
00000650,23/sep/22,26,6,1,68
00000651,21/ago/22,25,16,84,99
00000652,17/ago/20,23,15,6,47
00000653,22/mar/20,30,17,50,41
00000654,13/ene/20,32,10,94,7
00000655,30/may/22,29,11,84,89
00000656,28/feb/20,8,7,42,86
00000657,06/nov/21,5,5,92,33
00000658,01/jun/22,20,1,52,12
00000659,30/jul/20,23,11,62,46
00000660,17/feb/21,3,10,83,3
00000661,16/sep/22,20,20,70,23
00000662,04/mar/22,30,15,95,10
00000663,30/may/22,24,1,16,30
00000664,30/jul/21,3,10,69,21
00000665,10/ago/21,5,7,69,97
00000666,20/sep/22,32,17,93,82
00000667,24/sep/21,11,17,54,82
00000668,07/sep/22,12,11,3,3
00000669,31/nov/21,20,18,75,22
00000670,10/feb/22,30,4,54,33
00000671,30/may/20,8,18,82,35
00000672,29/sep/21,32,8,38,78
00000673,20/mar/22,2,6,16,25
00000674,02/mar/22,27,20,28,31
00000675,30/may/21,17,19,36,35
00000676,30/jul/21,6,8,67,39
00000677,15/sep/22,22,17,91,37
00000678,23/nov/22,6,15,21,100
00000679,01/nov/21,3,13,35,2
00000680,01/dic/22,29,2,83,6
00000681,20/sep/21,22,8,49,48
00000682,29/dic/20,22,1,50,45
00000683,08/mar/21,11,6,69,11
00000684,30/may/22,24,4,62,33
00000685,30/may/20,22,15,20,100
00000686,13/jun/21,8,7,3,95
00000687,26/ene/20,26,6,65,23
00000688,31/sep/21,28,15,93,28
00000689,30/oct/21,6,17,6,44
00000690,28/ene/21,14,9,18,57
00000691,24/jun/21,27,18,31,42
00000692,25/ago/20,28,4,55,94
00000693,24/ago/20,13,4,18,74
00000694,30/may/20,28,16,2,5
00000695,26/jun/22,16,19,60,52
00000696,18/sep/20,18,18,96,91
00000697,30/oct/22,25,2,71,7
00000698,28/jun/21,18,4,31,74
00000699,30/oct/20,14,18,45,17
00000700,18/sep/20,28,15,97,95
00000701,03/ago/20,31,4,16,41
00000702,30/jul/21,18,20,19,49
00000703,12/sep/22,21,19,32,72
00000704,30/may/20,24,19,41,45
00000705,13/ago/20,21,18,2,20
00000706,24/nov/20,30,13,20,5
00000707,28/mar/20,2,6,31,94
00000708,28/ene/21,6,16,58,90
00000709,09/mar/21,24,11,20,60
00000710,11/jun/21,31,4,1,93
00000711,14/ene/22,20,12,79,97
00000712,18/ene/22,9,20,82,58
00000713,07/ene/21,7,12,98,43
00000714,31/nov/21,26,8,17,17
00000715,30/oct/21,30,2,50,28
00000716,29/dic/21,24,20,59,36
00000717,14/nov/22,17,3,77,72
00000718,25/abr/20,10,6,90,44
00000719,30/may/21,7,14,72,5
00000720,30/jul/21,27,9,73,14
00000721,02/feb/21,28,6,94,21
00000722,30/may/22,21,3,31,39
00000723,29/ene/21,23,19,50,83
00000724,17/ene/21,23,20,55,82
00000725,22/mar/21,8,17,84,63
00000726,26/abr/20,19,19,51,37
00000727,30/may/22,1,16,99,21
00000728,03/dic/21,6,19,64,54
00000729,07/sep/20,12,13,72,66
00000730,11/abr/21,16,10,25,19
00000731,30/oct/21,11,15,67,25
00000732,03/sep/22,24,20,67,33
00000733,16/ago/21,14,2,12,74
00000734,30/jul/20,2,14,80,75
00000735,17/sep/20,15,1,2,97
00000736,07/mar/21,10,17,23,7
